data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-13,84,084039,Agrigento,Sant'Angelo Muxaro,79.12,76.74
2021-10-13,84,084037,Agrigento,Santa Elisabetta,86.61,83.99
2021-10-13,84,084038,Agrigento,Santa Margherita di Belice,84.32,80.84
2021-10-13,84,084040,Agrigento,Santo Stefano Quisquina,87.16,84.01
2021-10-13,84,084041,Agrigento,Sciacca,90.50,87.99
2021-10-13,84,084042,Agrigento,Siculiana,82.12,78.96
2021-10-13,84,084043,Agrigento,Villafranca Sicula,88.72,86.09
2021-10-13,85,085001,Caltanissetta,Acquaviva Platani,94.24,91.42
2021-10-13,85,085002,Caltanissetta,Bompensiere,85.56,80.75
2021-10-13,85,085003,Caltanissetta,Butera,71.99,67.04
2021-10-13,85,085004,Caltanissetta,Caltanissetta,82.00,77.84
2021-10-13,85,085005,Caltanissetta,Campofranco,79.72,75.98
2021-10-13,85,085006,Caltanissetta,Delia,78.54,74.47
2021-10-13,85,085007,Caltanissetta,Gela,73.36,67.98
2021-10-13,85,085008,Caltanissetta,Marianopoli,67.96,60.65
2021-10-13,85,085009,Caltanissetta,Mazzarino,76.50,70.66
2021-10-13,85,085010,Caltanissetta,Milena,88.00,85.33
2021-10-13,85,085011,Caltanissetta,Montedoro,82.88,78.08
2021-10-13,85,085012,Caltanissetta,Mussomeli,87.31,84.32
2021-10-13,85,085013,Caltanissetta,Niscemi,76.20,70.75
2021-10-13,85,085014,Caltanissetta,Resuttano,87.85,84.75
2021-10-13,85,085015,Caltanissetta,Riesi,73.73,69.25
2021-10-13,85,085016,Caltanissetta,San Cataldo,84.98,80.32
2021-10-13,85,085017,Caltanissetta,Santa Caterina Villarmosa,85.04,80.82
2021-10-13,85,085018,Caltanissetta,Serradifalco,83.07,79.63
2021-10-13,85,085019,Caltanissetta,Sommatino,80.59,77.46
2021-10-13,85,085020,Caltanissetta,Sutera,88.45,86.72
2021-10-13,85,085021,Caltanissetta,Vallelunga Pratameno,75.90,71.11
2021-10-13,85,085022,Caltanissetta,Villalba,79.13,75.74
2021-10-13,87,087001,Catania,Aci Bonaccorsi,73.13,68.78
2021-10-13,87,087002,Catania,Aci Castello,74.39,70.54
2021-10-13,87,087003,Catania,Aci Catena,69.38,63.63
2021-10-13,87,087005,Catania,Aci Sant'Antonio,71.16,65.84
2021-10-13,87,087004,Catania,Acireale,72.39,67.03
2021-10-13,87,087006,Catania,Adrano,69.28,63.97
2021-10-13,87,087007,Catania,Belpasso,70.71,65.17
2021-10-13,87,087008,Catania,Biancavilla,77.65,73.47
2021-10-13,87,087009,Catania,Bronte,78.90,74.87
2021-10-13,87,087010,Catania,Calatabiano,71.79,65.10
2021-10-13,87,087011,Catania,Caltagirone,82.90,77.91
2021-10-13,87,087012,Catania,Camporotondo Etneo,65.95,59.01
2021-10-13,87,087013,Catania,Castel di Iudica,68.69,61.16
2021-10-13,87,087014,Catania,Castiglione di Sicilia,75.08,67.83
2021-10-13,87,087015,Catania,Catania,83.78,77.44
2021-10-13,87,087016,Catania,Fiumefreddo di Sicilia,69.86,65.01
2021-10-13,87,087017,Catania,Giarre,74.73,69.74
2021-10-13,87,087018,Catania,Grammichele,76.35,70.97
2021-10-13,87,087019,Catania,Gravina di Catania,68.06,63.96
2021-10-13,87,087020,Catania,Licodia Eubea,76.91,72.44
2021-10-13,87,087021,Catania,Linguaglossa,78.07,74.00
2021-10-13,87,087022,Catania,Maletto,84.10,80.18
2021-10-13,87,087057,Catania,Maniace,63.77,57.81
2021-10-13,87,087023,Catania,Mascali,70.60,65.22
2021-10-13,87,087024,Catania,Mascalucia,69.84,65.36
2021-10-13,87,087056,Catania,Mazzarrone,79.97,72.85
2021-10-13,87,087025,Catania,Militello in Val di Catania,73.12,70.19
2021-10-13,87,087026,Catania,Milo,80.28,77.94
2021-10-13,87,087027,Catania,Mineo,78.81,74.14
2021-10-13,87,087028,Catania,Mirabella Imbaccari,75.99,71.43
2021-10-13,87,087029,Catania,Misterbianco,64.65,58.74
2021-10-13,87,087030,Catania,Motta Sant'Anastasia,68.87,63.14
2021-10-13,87,087031,Catania,Nicolosi,68.63,63.71
2021-10-13,87,087032,Catania,Palagonia,69.13,62.94
2021-10-13,87,087033,Catania,Paternò,72.01,66.76
2021-10-13,87,087034,Catania,Pedara,67.47,62.54
2021-10-13,87,087035,Catania,Piedimonte Etneo,70.80,66.50
2021-10-13,87,087036,Catania,Raddusa,75.73,69.17
2021-10-13,87,087058,Catania,Ragalna,65.25,61.90
2021-10-13,87,087037,Catania,Ramacca,74.40,68.76
2021-10-13,87,087038,Catania,Randazzo,75.94,70.66
2021-10-13,87,087039,Catania,Riposto,71.40,66.37
2021-10-13,87,087040,Catania,San Cono,77.13,71.79
2021-10-13,87,087041,Catania,San Giovanni la Punta,73.71,69.07
2021-10-13,87,087042,Catania,San Gregorio di Catania,76.20,73.07
2021-10-13,87,087043,Catania,San Michele di Ganzaria,72.27,67.26
2021-10-13,87,087044,Catania,San Pietro Clarenza,67.03,61.38
2021-10-13,87,087045,Catania,Sant'Agata li Battiati,73.57,71.15
2021-10-13,87,087046,Catania,Sant'Alfio,71.69,67.13
2021-10-13,87,087047,Catania,Santa Maria di Licodia,68.23,64.25
2021-10-13,87,087048,Catania,Santa Venerina,68.78,62.49
2021-10-13,87,087049,Catania,Scordia,81.42,77.96
2021-10-13,87,087050,Catania,Trecastagni,71.14,66.18
2021-10-13,87,087051,Catania,Tremestieri Etneo,70.65,66.91
2021-10-13,87,087052,Catania,Valverde,72.02,67.55
2021-10-13,87,087053,Catania,Viagrande,73.00,67.95
2021-10-13,87,087054,Catania,Vizzini,81.71,76.22
2021-10-13,87,087055,Catania,Zafferana Etnea,71.40,66.92
2021-10-13,86,086001,Enna,Agira,71.34,64.62
2021-10-13,86,086002,Enna,Aidone,80.78,76.32
2021-10-13,86,086003,Enna,Assoro,76.68,72.71
2021-10-13,86,086004,Enna,Barrafranca,76.03,70.74
2021-10-13,86,086005,Enna,Calascibetta,85.42,82.16
2021-10-13,86,086006,Enna,Catenanuova,73.14,68.15
2021-10-13,86,086007,Enna,Centuripe,77.01,71.28
2021-10-13,86,086008,Enna,Cerami,88.73,85.51
2021-10-13,86,086009,Enna,Enna,87.03,84.05
2021-10-13,86,086010,Enna,Gagliano Castelferrato,79.93,77.60
2021-10-13,86,086011,Enna,Leonforte,83.64,79.17
2021-10-13,86,086012,Enna,Nicosia,83.57,81.02
2021-10-13,86,086013,Enna,Nissoria,73.46,70.18
2021-10-13,86,086014,Enna,Piazza Armerina,76.60,72.60
2021-10-13,86,086015,Enna,Pietraperzia,80.61,76.85
2021-10-13,86,086016,Enna,Regalbuto,79.02,74.42
2021-10-13,86,086017,Enna,Sperlinga,87.94,83.00
2021-10-13,86,086018,Enna,Troina,85.69,82.53
2021-10-13,86,086019,Enna,Valguarnera Caropepe,78.13,74.95
2021-10-13,86,086020,Enna,Villarosa,84.80,81.15
2021-10-13,83,083107,Messina,Acquedolci,76.61,72.80
2021-10-13,83,083001,Messina,Alcara li Fusi,85.82,81.72
2021-10-13,83,083002,Messina,Alì,52.05,46.81
2021-10-13,83,083003,Messina,Alì Terme,64.22,59.57
2021-10-13,83,083004,Messina,Antillo,78.35,72.91
2021-10-13,83,083005,Messina,Barcellona Pozzo di Gotto,78.54,74.02
2021-10-13,83,083006,Messina,Basicò,75.05,68.71
2021-10-13,83,083007,Messina,Brolo,87.10,83.71
2021-10-13,83,083008,Messina,Capizzi,71.59,67.42
2021-10-13,83,083009,Messina,Capo d'Orlando,80.40,76.83
2021-10-13,83,083010,Messina,Capri Leone,77.31,71.81
2021-10-13,83,083011,Messina,Caronia,81.35,77.39
