data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-06,84,084041,Agrigento,Sciacca,89.98,87.05
2021-10-06,84,084042,Agrigento,Siculiana,81.62,78.15
2021-10-06,84,084043,Agrigento,Villafranca Sicula,88.15,85.68
2021-10-06,85,085001,Caltanissetta,Acquaviva Platani,93.01,90.07
2021-10-06,85,085002,Caltanissetta,Bompensiere,84.73,80.54
2021-10-06,85,085003,Caltanissetta,Butera,70.81,65.89
2021-10-06,85,085004,Caltanissetta,Caltanissetta,80.80,76.21
2021-10-06,85,085005,Caltanissetta,Campofranco,79.41,75.79
2021-10-06,85,085006,Caltanissetta,Delia,76.26,72.05
2021-10-06,85,085007,Caltanissetta,Gela,72.14,66.41
2021-10-06,85,085008,Caltanissetta,Marianopoli,65.31,59.29
2021-10-06,85,085009,Caltanissetta,Mazzarino,75.44,69.23
2021-10-06,85,085010,Caltanissetta,Milena,87.93,84.75
2021-10-06,85,085011,Caltanissetta,Montedoro,82.13,77.85
2021-10-06,85,085012,Caltanissetta,Mussomeli,86.65,83.48
2021-10-06,85,085013,Caltanissetta,Niscemi,75.46,68.92
2021-10-06,85,085014,Caltanissetta,Resuttano,85.82,79.81
2021-10-06,85,085015,Caltanissetta,Riesi,73.10,67.96
2021-10-06,85,085016,Caltanissetta,San Cataldo,83.85,78.88
2021-10-06,85,085017,Caltanissetta,Santa Caterina Villarmosa,83.66,77.75
2021-10-06,85,085018,Caltanissetta,Serradifalco,81.38,77.28
2021-10-06,85,085019,Caltanissetta,Sommatino,80.16,76.40
2021-10-06,85,085020,Caltanissetta,Sutera,88.28,86.02
2021-10-06,85,085021,Caltanissetta,Vallelunga Pratameno,75.69,70.70
2021-10-06,85,085022,Caltanissetta,Villalba,78.69,75.00
2021-10-06,87,087001,Catania,Aci Bonaccorsi,71.41,66.96
2021-10-06,87,087002,Catania,Aci Castello,73.34,69.14
2021-10-06,87,087003,Catania,Aci Catena,67.42,61.32
2021-10-06,87,087005,Catania,Aci Sant'Antonio,69.46,63.82
2021-10-06,87,087004,Catania,Acireale,70.45,64.75
2021-10-06,87,087006,Catania,Adrano,67.45,62.20
2021-10-06,87,087007,Catania,Belpasso,69.04,63.04
2021-10-06,87,087008,Catania,Biancavilla,76.24,71.57
2021-10-06,87,087009,Catania,Bronte,77.55,73.51
2021-10-06,87,087010,Catania,Calatabiano,70.07,63.03
2021-10-06,87,087011,Catania,Caltagirone,81.82,76.20
2021-10-06,87,087012,Catania,Camporotondo Etneo,63.91,56.59
2021-10-06,87,087013,Catania,Castel di Iudica,66.61,58.68
2021-10-06,87,087014,Catania,Castiglione di Sicilia,73.10,65.62
2021-10-06,87,087015,Catania,Catania,81.78,74.93
2021-10-06,87,087016,Catania,Fiumefreddo di Sicilia,68.32,63.20
2021-10-06,87,087017,Catania,Giarre,73.30,68.09
