data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2021-10-20,84,084043,Agrigento,Villafranca Sicula,88.81,86.26
2021-10-20,85,085001,Caltanissetta,Acquaviva Platani,94.61,92.16
2021-10-20,85,085002,Caltanissetta,Bompensiere,86.19,80.96
2021-10-20,85,085003,Caltanissetta,Butera,72.42,68.04
2021-10-20,85,085004,Caltanissetta,Caltanissetta,82.87,78.99
2021-10-20,85,085005,Caltanissetta,Campofranco,80.03,77.14
2021-10-20,85,085006,Caltanissetta,Delia,79.43,74.97
2021-10-20,85,085007,Caltanissetta,Gela,74.48,69.03
2021-10-20,85,085008,Caltanissetta,Marianopoli,69.39,61.23
2021-10-20,85,085009,Caltanissetta,Mazzarino,77.16,71.70
2021-10-20,85,085010,Caltanissetta,Milena,88.23,85.90
2021-10-20,85,085011,Caltanissetta,Montedoro,83.26,78.75
2021-10-20,85,085012,Caltanissetta,Mussomeli,87.73,85.00
2021-10-20,85,085013,Caltanissetta,Niscemi,76.95,72.01
2021-10-20,85,085014,Caltanissetta,Resuttano,88.45,85.65
2021-10-20,85,085015,Caltanissetta,Riesi,75.01,70.37
2021-10-20,85,085016,Caltanissetta,San Cataldo,85.68,81.64
2021-10-20,85,085017,Caltanissetta,Santa Caterina Villarmosa,85.20,81.29
2021-10-20,85,085018,Caltanissetta,Serradifalco,83.64,80.24
2021-10-20,85,085019,Caltanissetta,Sommatino,80.99,77.86
2021-10-20,85,085020,Caltanissetta,Sutera,88.45,87.07
2021-10-20,85,085021,Caltanissetta,Vallelunga Pratameno,76.62,72.03
2021-10-20,85,085022,Caltanissetta,Villalba,79.65,76.92
2021-10-20,87,087001,Catania,Aci Bonaccorsi,74.21,70.27
2021-10-20,87,087002,Catania,Aci Castello,75.08,71.46
2021-10-20,87,087003,Catania,Aci Catena,71.18,65.46
2021-10-20,87,087005,Catania,Aci Sant'Antonio,72.63,67.40
2021-10-20,87,087004,Catania,Acireale,74.08,68.64
2021-10-20,87,087006,Catania,Adrano,71.06,65.58
2021-10-20,87,087007,Catania,Belpasso,72.31,66.86
2021-10-20,87,087008,Catania,Biancavilla,79.20,74.79
2021-10-20,87,087009,Catania,Bronte,80.05,75.83
2021-10-20,87,087010,Catania,Calatabiano,73.40,66.37
2021-10-20,87,087011,Catania,Caltagirone,83.93,79.22
2021-10-20,87,087012,Catania,Camporotondo Etneo,67.78,60.67
2021-10-20,87,087013,Catania,Castel di Iudica,70.38,63.36
2021-10-20,87,087014,Catania,Castiglione di Sicilia,76.81,70.04
2021-10-20,87,087015,Catania,Catania,85.47,79.18
2021-10-20,87,087016,Catania,Fiumefreddo di Sicilia,71.46,66.35
2021-10-20,87,087017,Catania,Giarre,75.73,71.08
2021-10-20,87,087018,Catania,Grammichele,77.65,72.39
2021-10-20,87,087019,Catania,Gravina di Catania,69.21,65.01
2021-10-20,87,087020,Catania,Licodia Eubea,77.40,73.00
2021-10-20,87,087021,Catania,Linguaglossa,79.42,75.43
2021-10-20,87,087022,Catania,Maletto,84.98,81.91
2021-10-20,87,087057,Catania,Maniace,67.83,59.42
2021-10-20,87,087023,Catania,Mascali,71.83,66.60
2021-10-20,87,087024,Catania,Mascalucia,71.17,66.55
2021-10-20,87,087056,Catania,Mazzarrone,82.31,77.14
2021-10-20,87,087025,Catania,Militello in Val di Catania,74.11,71.10
2021-10-20,87,087026,Catania,Milo,80.91,78.26
2021-10-20,87,087027,Catania,Mineo,79.31,74.85
2021-10-20,87,087028,Catania,Mirabella Imbaccari,77.14,72.04
2021-10-20,87,087029,Catania,Misterbianco,66.42,60.63
2021-10-20,87,087030,Catania,Motta Sant'Anastasia,70.20,64.76
2021-10-20,87,087031,Catania,Nicolosi,69.86,64.95
2021-10-20,87,087032,Catania,Palagonia,70.52,64.47
2021-10-20,87,087033,Catania,Paternò,73.89,68.33
2021-10-20,87,087034,Catania,Pedara,68.52,63.87
2021-10-20,87,087035,Catania,Piedimonte Etneo,71.63,67.60
2021-10-20,87,087036,Catania,Raddusa,76.62,69.95
2021-10-20,87,087058,Catania,Ragalna,66.00,62.87
2021-10-20,87,087037,Catania,Ramacca,77.01,70.80
2021-10-20,87,087038,Catania,Randazzo,77.11,72.01
2021-10-20,87,087039,Catania,Riposto,72.65,67.99
2021-10-20,87,087040,Catania,San Cono,79.03,73.64
2021-10-20,87,087041,Catania,San Giovanni la Punta,74.70,70.41
2021-10-20,87,087042,Catania,San Gregorio di Catania,77.07,74.11
2021-10-20,87,087043,Catania,San Michele di Ganzaria,73.37,68.25
2021-10-20,87,087044,Catania,San Pietro Clarenza,68.55,62.57
2021-10-20,87,087045,Catania,Sant'Agata li Battiati,74.13,71.81
2021-10-20,87,087046,Catania,Sant'Alfio,73.14,68.43
2021-10-20,87,087047,Catania,Santa Maria di Licodia,69.92,65.49
2021-10-20,87,087048,Catania,Santa Venerina,70.60,64.28
2021-10-20,87,087049,Catania,Scordia,82.43,79.00
2021-10-20,87,087050,Catania,Trecastagni,72.43,67.63
2021-10-20,87,087051,Catania,Tremestieri Etneo,71.66,67.94
2021-10-20,87,087052,Catania,Valverde,73.04,68.85
2021-10-20,87,087053,Catania,Viagrande,74.36,69.70
2021-10-20,87,087054,Catania,Vizzini,82.89,77.08
2021-10-20,87,087055,Catania,Zafferana Etnea,72.57,68.29
2021-10-20,86,086001,Enna,Agira,72.45,66.47
2021-10-20,86,086002,Enna,Aidone,81.09,77.19
2021-10-20,86,086003,Enna,Assoro,77.33,73.74
2021-10-20,86,086004,Enna,Barrafranca,76.66,71.69
2021-10-20,86,086005,Enna,Calascibetta,85.98,83.06
2021-10-20,86,086006,Enna,Catenanuova,74.92,70.35
2021-10-20,86,086007,Enna,Centuripe,78.05,72.89
2021-10-20,86,086008,Enna,Cerami,89.78,86.97
2021-10-20,86,086009,Enna,Enna,87.40,84.66
2021-10-20,86,086010,Enna,Gagliano Castelferrato,80.54,77.95
2021-10-20,86,086011,Enna,Leonforte,84.44,80.57
2021-10-20,86,086012,Enna,Nicosia,84.18,81.56
2021-10-20,86,086013,Enna,Nissoria,73.96,71.45
2021-10-20,86,086014,Enna,Piazza Armerina,77.47,73.78
2021-10-20,86,086015,Enna,Pietraperzia,81.37,77.47
2021-10-20,86,086016,Enna,Regalbuto,79.98,75.33
2021-10-20,86,086017,Enna,Sperlinga,88.41,83.62
2021-10-20,86,086018,Enna,Troina,86.04,82.88
2021-10-20,86,086019,Enna,Valguarnera Caropepe,78.86,75.57
2021-10-20,86,086020,Enna,Villarosa,85.39,82.43
2021-10-20,83,083107,Messina,Acquedolci,77.16,73.41
2021-10-20,83,083001,Messina,Alcara li Fusi,86.12,82.73
2021-10-20,83,083002,Messina,Alì,55.65,49.92
2021-10-20,83,083003,Messina,Alì Terme,65.57,60.27
2021-10-20,83,083004,Messina,Antillo,78.88,74.50
2021-10-20,83,083005,Messina,Barcellona Pozzo di Gotto,79.68,75.21
2021-10-20,83,083006,Messina,Basicò,76.58,69.10
2021-10-20,83,083007,Messina,Brolo,87.56,84.45
2021-10-20,83,083008,Messina,Capizzi,73.21,68.72
2021-10-20,83,083009,Messina,Capo d'Orlando,81.13,77.86
2021-10-20,83,083010,Messina,Capri Leone,78.39,73.16
2021-10-20,83,083011,Messina,Caronia,81.88,78.11
2021-10-20,83,083012,Messina,Casalvecchio Siculo,72.71,68.36
2021-10-20,83,083013,Messina,Castel di Lucio,87.96,83.18
2021-10-20,83,083014,Messina,Castell'Umberto,72.22,66.52
2021-10-20,83,083015,Messina,Castelmola,63.41,58.54
2021-10-20,83,083016,Messina,Castroreale,77.42,72.22
2021-10-20,83,083017,Messina,Cesarò,80.42,75.92
2021-10-20,83,083018,Messina,Condrò,70.24,66.59
2021-10-20,83,083019,Messina,Falcone,79.51,75.37
2021-10-20,83,083020,Messina,Ficarra,84.27,82.05
2021-10-20,83,083021,Messina,Fiumedinisi,49.65,45.59
2021-10-20,83,083022,Messina,Floresta,71.36,66.59
2021-10-20,83,083023,Messina,Fondachelli-Fantina,75.72,71.03
2021-10-20,83,083024,Messina,Forza d'Agrò,75.84,69.54
2021-10-20,83,083025,Messina,Francavilla di Sicilia,75.16,71.10
2021-10-20,83,083026,Messina,Frazzanò,85.30,82.58
2021-10-20,83,083027,Messina,Furci Siculo,71.43,66.27
2021-10-20,83,083028,Messina,Furnari,68.19,63.71
2021-10-20,83,083029,Messina,Gaggi,63.73,57.99
2021-10-20,83,083030,Messina,Galati Mamertino,82.20,76.90
2021-10-20,83,083031,Messina,Gallodoro,73.98,70.53
2021-10-20,83,083032,Messina,Giardini-Naxos,67.26,62.00
2021-10-20,83,083033,Messina,Gioiosa Marea,72.85,68.68
2021-10-20,83,083034,Messina,Graniti,73.45,67.48
2021-10-20,83,083035,Messina,Gualtieri Sicaminò,71.11,65.87
2021-10-20,83,083036,Messina,Itala,57.74,54.96
2021-10-20,83,083037,Messina,Leni,67.26,63.71
2021-10-20,83,083038,Messina,Letojanni,77.07,71.81
2021-10-20,83,083039,Messina,Librizzi,78.53,72.62
2021-10-20,83,083040,Messina,Limina,85.46,82.53
2021-10-20,83,083041,Messina,Lipari,69.25,63.48
2021-10-20,83,083042,Messina,Longi,83.24,79.15
2021-10-20,83,083043,Messina,Malfa,73.11,68.08
2021-10-20,83,083044,Messina,Malvagna,81.94,79.97
2021-10-20,83,083045,Messina,Mandanici,74.95,71.43
2021-10-20,83,083046,Messina,Mazzarrà Sant'Andrea,74.45,69.67
2021-10-20,83,083047,Messina,Merì,72.28,67.14
2021-10-20,83,083048,Messina,Messina,71.71,67.33
2021-10-20,83,083049,Messina,Milazzo,76.20,71.65
2021-10-20,83,083050,Messina,Militello Rosmarino,80.37,74.49
2021-10-20,83,083051,Messina,Mirto,86.07,83.10
2021-10-20,83,083052,Messina,Mistretta,88.50,86.01
2021-10-20,83,083053,Messina,Moio Alcantara,82.51,79.33
2021-10-20,83,083054,Messina,Monforte San Giorgio,71.87,67.99
2021-10-20,83,083055,Messina,Mongiuffi Melia,78.56,76.02
2021-10-20,83,083056,Messina,Montagnareale,72.96,69.56
2021-10-20,83,083057,Messina,Montalbano Elicona,75.51,70.97
2021-10-20,83,083058,Messina,Motta Camastra,77.30,73.12
2021-10-20,83,083059,Messina,Motta d'Affermo,85.62,82.78
2021-10-20,83,083060,Messina,Naso,78.66,74.59
2021-10-20,83,083061,Messina,Nizza di Sicilia,67.79,62.97
2021-10-20,83,083062,Messina,Novara di Sicilia,74.11,68.75
2021-10-20,83,083063,Messina,Oliveri,75.11,70.39
2021-10-20,83,083064,Messina,Pace del Mela,68.90,63.87
2021-10-20,83,083065,Messina,Pagliara,68.71,63.17
2021-10-20,83,083066,Messina,Patti,77.03,72.84
2021-10-20,83,083067,Messina,Pettineo,80.02,76.23
2021-10-20,83,083068,Messina,Piraino,82.91,80.42
2021-10-20,83,083069,Messina,Raccuja,85.98,82.80
2021-10-20,83,083070,Messina,Reitano,83.43,79.48
2021-10-20,83,083071,Messina,Roccafiorita,110.47,109.30
2021-10-20,83,083072,Messina,Roccalumera,71.83,68.17
2021-10-20,83,083073,Messina,Roccavaldina,74.97,70.57
2021-10-20,83,083074,Messina,Roccella Valdemone,83.55,79.67
2021-10-20,83,083075,Messina,Rodì Milici,76.66,73.90
2021-10-20,83,083076,Messina,Rometta,68.90,64.63
2021-10-20,83,083077,Messina,San Filippo del Mela,68.23,63.59
2021-10-20,83,083078,Messina,San Fratello,79.07,74.11
2021-10-20,83,083079,Messina,San Marco d'Alunzio,92.49,89.91
2021-10-20,83,083080,Messina,San Pier Niceto,87.97,78.42
2021-10-20,83,083081,Messina,San Piero Patti,80.38,75.91
2021-10-20,83,083082,Messina,San Salvatore di Fitalia,85.13,82.55
2021-10-20,83,083090,Messina,San Teodoro,75.17,71.05
2021-10-20,83,083084,Messina,Sant'Agata di Militello,80.97,77.08
2021-10-20,83,083085,Messina,Sant'Alessio Siculo,67.68,63.32
2021-10-20,83,083088,Messina,Sant'Angelo di Brolo,79.26,75.44
2021-10-20,83,083083,Messina,Santa Domenica Vittoria,85.71,82.51
2021-10-20,83,083086,Messina,Santa Lucia del Mela,72.02,67.15
2021-10-20,83,083087,Messina,Santa Marina Salina,71.52,68.58
2021-10-20,83,083089,Messina,Santa Teresa di Riva,68.13,63.66
2021-10-20,83,083091,Messina,Santo Stefano di Camastra,77.24,73.34
2021-10-20,83,083092,Messina,Saponara,73.06,69.08
2021-10-20,83,083093,Messina,Savoca,65.67,59.52
2021-10-20,83,083094,Messina,Scaletta Zanclea,61.99,57.81
2021-10-20,83,083095,Messina,Sinagra,78.92,74.32
2021-10-20,83,083096,Messina,Spadafora,71.57,67.44
2021-10-20,83,083097,Messina,Taormina,69.98,65.48
2021-10-20,83,083106,Messina,Terme Vigliatore,77.20,72.96
2021-10-20,83,083098,Messina,Torregrotta,77.51,71.20
2021-10-20,83,083108,Messina,Torrenova,79.83,75.47
2021-10-20,83,083099,Messina,Tortorici,66.90,59.57
2021-10-20,83,083100,Messina,Tripi,75.64,69.97
2021-10-20,83,083101,Messina,Tusa,80.22,77.22
2021-10-20,83,083102,Messina,Ucria,85.60,82.29
2021-10-20,83,083103,Messina,Valdina,69.04,63.44
2021-10-20,83,083104,Messina,Venetico,70.56,66.33
2021-10-20,83,083105,Messina,Villafranca Tirrena,72.15,68.12
2021-10-20,82,082001,Palermo,Alia,86.60,82.88
2021-10-20,82,082002,Palermo,Alimena,78.58,74.60
2021-10-20,82,082003,Palermo,Aliminusa,82.36,80.51
2021-10-20,82,082004,Palermo,Altavilla Milicia,77.82,74.38
2021-10-20,82,082005,Palermo,Altofonte,76.28,71.98
2021-10-20,82,082006,Palermo,Bagheria,80.31,76.01
2021-10-20,82,082007,Palermo,Balestrate,82.42,77.32
2021-10-20,82,082008,Palermo,Baucina,82.88,78.70
2021-10-20,82,082009,Palermo,Belmonte Mezzagno,83.45,79.19
2021-10-20,82,082010,Palermo,Bisacquino,85.16,81.95
